event_type,order_id,side,order_type,price,quantity,peak_qty,stop_price,timestamp
NEW,1,SELL,LIMIT,10050,100,0,0,1700000000000000000
NEW,2,SELL,LIMIT,10060,200,0,0,1700000000000001000
NEW,3,SELL,LIMIT,10070,150,0,0,1700000000000002000
NEW,4,BUY,LIMIT,10040,100,0,0,1700000000000003000
NEW,5,BUY,LIMIT,10030,200,0,0,1700000000000004000
NEW,6,BUY,LIMIT,10020,150,0,0,1700000000000005000
NEW,7,BUY,LIMIT,10050,60,0,0,1700000000000006000
NEW,8,BUY,LIMIT,10050,40,0,0,1700000000000007000
NEW,9,SELL,LIMIT,10040,70,0,0,1700000000000008000
NEW,10,SELL,LIMIT,10040,30,0,0,1700000000000009000
NEW,11,BUY,LIMIT,10060,180,0,0,1700000000000010000
CANCEL,6,,,,,,,1700000000000011000
NEW,12,SELL,LIMIT,10030,50,0,0,1700000000000012000
NEW,13,BUY,MARKET,0,120,0,0,1700000000000013000
CANCEL,5,,,,,,,1700000000000014000
NEW,14,SELL,LIMIT,10045,80,0,0,1700000000000015000
NEW,15,BUY,LIMIT,10045,80,0,0,1700000000000016000
NEW,16,SELL,MARKET,0,150,0,0,1700000000000017000
NEW,17,BUY,LIMIT,10055,90,0,0,1700000000000018000
NEW,18,SELL,LIMIT,10050,60,0,0,1700000000000019000
NEW,19,BUY,LIMIT,10060,100,0,0,1700000000000020000
NEW,20,SELL,LIMIT,10055,40,0,0,1700000000000021000
NEW,21,BUY,MARKET,0,200,0,0,1700000000000022000
NEW,22,SELL,LIMIT,10040,100,0,0,1700000000000023000
NEW,23,BUY,LIMIT,10050,75,0,0,1700000000000024000
NEW,24,SELL,LIMIT,10050,75,0,0,1700000000000025000
CANCEL,4,,,,,,,1700000000000026000
NEW,25,BUY,LIMIT,10060,50,0,0,1700000000000027000
NEW,26,SELL,MARKET,0,80,0,0,1700000000000028000
NEW,27,BUY,LIMIT,10070,60,0,0,1700000000000029000
